               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.039581,            0.016776,                   0,             0.89239,             0.75862,             0.82397,             0.48682,             0.04344,             0.01606,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.038869,            0.016144,                   0,             0.87126,             0.72414,             0.76303,             0.42657,            0.049037,            0.016438,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.038275,            0.015189,                   0,             0.89416,             0.74138,             0.82653,             0.50504,            0.041406,            0.015907,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.036446,            0.015449,                   0,             0.87586,             0.72997,             0.77729,             0.45267,            0.045703,            0.016171,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.035891,            0.016626,                   0,              0.9108,             0.74138,             0.81926,              0.4801,            0.041615,            0.015804,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.035483,            0.014544,                   0,             0.89332,             0.72193,             0.78079,             0.43659,            0.044325,            0.016068,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.033453,            0.015163,                   0,             0.91485,             0.74095,             0.83199,             0.49232,            0.040185,            0.015736,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.033665,            0.015223,                   0,             0.87224,              0.7069,             0.75138,             0.44072,            0.045006,            0.016129,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.032924,            0.016064,                   0,             0.89231,             0.71439,             0.79307,             0.48249,            0.040454,            0.015717,                   0,             0.00241,             0.00241,             0.00241
                  48,            0.033421,            0.016614,                   0,             0.89191,             0.74138,             0.78074,             0.46524,            0.042869,            0.016125,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.030859,            0.014973,                   0,             0.91662,             0.75862,             0.84424,             0.48243,            0.038943,            0.015419,                   0,             0.00208,             0.00208,             0.00208
                  50,            0.032025,            0.014933,                   0,              0.9033,             0.74138,             0.82235,             0.47577,            0.041322,            0.015652,                   0,            0.001915,            0.001915,            0.001915
                  51,            0.031115,            0.014808,                   0,             0.90046,             0.74138,              0.8313,             0.50197,            0.038098,            0.015087,                   0,             0.00175,             0.00175,             0.00175
                  52,             0.03191,            0.015811,                   0,             0.88527,             0.72414,             0.79188,             0.47824,            0.040527,            0.015396,                   0,            0.001585,            0.001585,            0.001585
                  53,            0.029187,            0.016045,                   0,             0.89613,             0.68966,             0.80203,             0.50521,            0.038461,            0.015038,                   0,             0.00142,             0.00142,             0.00142
                  54,            0.029991,             0.01327,                   0,             0.88433,             0.72414,             0.77722,             0.49434,            0.039762,            0.015289,                   0,            0.001255,            0.001255,            0.001255
                  55,            0.029473,            0.015233,                   0,             0.90867,             0.74138,             0.81765,             0.50183,            0.038088,             0.01511,                   0,             0.00109,             0.00109,             0.00109
                  56,            0.028086,            0.014248,                   0,             0.90787,             0.74138,             0.80597,              0.5036,            0.037735,            0.015049,                   0,            0.000925,            0.000925,            0.000925
                  57,            0.026941,            0.014489,                   0,              0.8893,             0.72414,             0.79328,              0.4997,            0.038284,            0.015129,                   0,             0.00076,             0.00076,             0.00076
                  58,            0.026632,            0.013601,                   0,             0.87992,             0.72414,             0.78069,             0.50409,            0.038649,            0.015305,                   0,            0.000595,            0.000595,            0.000595
                  59,            0.026532,            0.014992,                   0,             0.87853,             0.72414,             0.79125,             0.50904,            0.037817,             0.01519,                   0,             0.00043,             0.00043,             0.00043
